sa1_7digitcode_2016,cluster
1107425,Country Towns
1107426,Country Towns
1107427,Country Towns
1107601,
1107602,
1107603,
1107604,1107604
1107605,Country Towns
1107606,Country Towns
1107607,Country Towns
1107608,1107608
1107609,Country Towns
1107610,Country Towns
1107611,Country Towns
1107612,1107612
1107613,Country Towns
1107614,
1107615,
1107616,1107616
1107617,Country Towns
1107618,Country Towns
1107619,Country Towns
1107620,1107620
1107621,
1107701,
1107702,Country Towns
1107703,Country Towns
1107704,1107704
1107705,Country Towns
1107706,Country Towns
1107707,Country Towns
1107708,1107708
1107709,Country Towns
1107710,Country Towns
1107711,Country Towns
1107712,1107712
1107713,Country Towns
1107714,Country Towns
1107715,Country Towns
1107716,1107716
1107717,
1107718,Country Towns
1107719,Country Towns
1107720,1107720
1107721,Country Towns
1107722,Country Towns
1107723,Country Towns
1107724,1107724
1107725,
1107726,Country Towns
1107727,Country Towns
1107728,1107728
1107729,Country Towns
1107730,Country Towns
1107731,Country Towns
1107732,1107732
1107733,Country Towns
1107734,Country Towns
1107736,1107736
1107737,
1107738,
1107739,Country Towns
1107740,1107740
1107741,Country Towns
1107742,Country Towns
1107743,Country Towns
1107744,1107744
1107745,Country Towns
1107746,Country Towns
1107747,Country Towns
1107748,1107748
1107749,Country Towns
1107750,Country Towns
1107751,Country Towns
1107752,1107752
1107753,Country Towns
1107754,Country Towns
1107801,Country Towns
1107802,Country Towns
1107804,1107804
1107805,Country Towns
1107806,Country Towns
1107807,
1107808,1107808
1107809,
1107810,
1107811,Country Towns
1107812,1107812
1107813,
1107814,
1107815,Country Towns
1107816,1107816
